url,link
https://www.linkedin.com/company/truecaller,https://www.linkedin.com/signup?session_redirect=https%3A%2F%2Fwww%2Elinkedin%2Ecom%2Fcompany%2Ftruecaller&trk=organization_guest_main-feed-card_like-cta
https://www.linkedin.com/company/truecaller,https://www.linkedin.com/signup?session_redirect=https%3A%2F%2Fwww%2Elinkedin%2Ecom%2Fcompany%2Ftruecaller&trk=organization_guest_main-feed-card_comment-cta
https://www.linkedin.com/company/truecaller,https://www.linkedin.com/signup?session_redirect=https%3A%2F%2Fwww%2Elinkedin%2Ecom%2Fcompany%2Ftruecaller&trk=organization_guest_main-feed-card_share-cta
https://www.linkedin.com/company/truecaller,https://www.linkedin.com/posts/truecaller_what-truecallers-co-founders-stepping-back-activity-7269292617660575744-v9H5
https://www.linkedin.com/company/truecaller,https://se.linkedin.com/company/truecaller?trk=organization_guest_main-feed-card_feed-actor-image
https://www.linkedin.com/company/truecaller,https://se.linkedin.com/company/truecaller?trk=organization_guest_main-feed-card_feed-actor-name
https://www.linkedin.com/company/truecaller,https://se.linkedin.com/in/alan-mamedi?trk=organization_guest_main-feed-card-text
https://www.linkedin.com/company/truecaller,https://se.linkedin.com/in/namizarringhalam?trk=organization_guest_main-feed-card-text
https://www.linkedin.com/company/truecaller,https://in.linkedin.com/in/rishit?trk=organization_guest_main-feed-card-text
https://www.linkedin.com/company/truecaller,https://lnkd.in/dZRbztyB?trk=organization_guest_main-feed-card-text
https://www.linkedin.com/company/truecaller,https://www.linkedin.com/redir/redirect?url=https%3A%2F%2Fwww%2Eforbesindia%2Ecom%2Farticle%2Ftake-one-big-story-of-the-day%2Fwhat-truecallers-cofounders-stepping-back-means-for-the-company%2F94702%2F1&urlhash=2Prk&trk=organization_guest_main-feed-card_feed-article-content
https://www.linkedin.com/company/truecaller,https://www.linkedin.com/signup?session_redirect=https%3A%2F%2Fwww%2Elinkedin%2Ecom%2Fcompany%2Ftruecaller&trk=organization_guest_main-feed-card_social-actions-reactions
https://www.linkedin.com/company/truecaller,https://www.linkedin.com/signup?session_redirect=https%3A%2F%2Fwww%2Elinkedin%2Ecom%2Fcompany%2Ftruecaller&trk=organization_guest_main-feed-card_social-actions-comments
https://www.linkedin.com/company/truecaller,https://www.linkedin.com/signup?session_redirect=https%3A%2F%2Fwww%2Elinkedin%2Ecom%2Fcompany%2Ftruecaller&trk=organization_guest_main-feed-card_like-cta
https://www.linkedin.com/company/truecaller,https://www.linkedin.com/signup?session_redirect=https%3A%2F%2Fwww%2Elinkedin%2Ecom%2Fcompany%2Ftruecaller&trk=organization_guest_main-feed-card_comment-cta
https://www.linkedin.com/company/truecaller,https://www.linkedin.com/signup?session_redirect=https%3A%2F%2Fwww%2Elinkedin%2Ecom%2Fcompany%2Ftruecaller&trk=organization_guest_main-feed-card_share-cta
https://www.linkedin.com/company/truecaller,https://www.linkedin.com/posts/truecaller_indiafightsfraud-digitalsafety-yourkavachfordigitalsafety-activity-7267519492719599616-B2e0
https://www.linkedin.com/company/truecaller,https://se.linkedin.com/company/truecaller?trk=organization_guest_main-feed-card_feed-actor-image
https://www.linkedin.com/company/truecaller,https://se.linkedin.com/company/truecaller?trk=organization_guest_main-feed-card_feed-actor-name
https://www.linkedin.com/company/truecaller,https://in.linkedin.com/company/thequint?trk=organization_guest_main-feed-card-text
https://www.linkedin.com/company/truecaller,https://www.linkedin.com/signup?session_redirect=https%3A%2F%2Fwww.linkedin.com%2Ffeed%2Fhashtag%2Findiafightsfraud&trk=organization_guest_main-feed-card-text
https://www.linkedin.com/company/truecaller,https://www.linkedin.com/signup?session_redirect=https%3A%2F%2Fwww.linkedin.com%2Ffeed%2Fhashtag%2Fdigitalsafety&trk=organization_guest_main-feed-card-text
